text,date,text_cleaned,tokens,compound,predicted_sentiment
It's a GREAT film,14 December 2018,its a great film,"['great', 'film']",0.6249,positive
Into The SpiderVerse,15 December 2018,into the spiderverse,['spiderverse'],0.0,positive
A Darkhorse Candidate for My Favourite Movie of the Year,23 December 2018,a darkhorse candidate for my favourite movie of the year,"['darkhorse', 'candidate', 'favourite', 'movie', 'year']",0.0,positive
Can't get much better,19 December 2018,cant get much better,"['cant', 'get', 'much', 'better']",-0.3412,negative
Visually stunning,21 February 2019,visually stunning,"['visually', 'stunning']",0.3818,positive
FANTASTIC. PHENOMINAL,21 December 2018,fantastic phenominal,"['fantastic', 'phenominal']",0.5574,positive
The comic style is cool!,26 December 2018,the comic style is cool,"['comic', 'style', 'cool']",0.3182,positive
A TRUE comic-book action adventure!,15 December 2018,a true comicbook action adventure,"['true', 'comicbook', 'action', 'adventure']",0.6249,positive
Animation as an art form.,19 October 2020,animation as an art form,"['animation', 'art', 'form']",0.0,positive
Lives up to the HYPE!,15 December 2018,lives up to the hype,"['life', 'hype']",0.0,positive
One of the biggest film of the year,17 December 2018,one of the biggest film of the year,"['one', 'biggest', 'film', 'year']",0.0,positive
So refreshing!,19 December 2018,so refreshing,['refreshing'],0.0,positive
Absolutely fantastic,16 December 2018,absolutely fantastic,"['absolutely', 'fantastic']",0.5984,positive
"Overflowing with wit, verve and inventiveness, this latest Spider-Man reboot expands the Spider-Verse in visually dazzling and hilariously self-referential ways",7 December 2018,overflowing with wit verve and inventiveness this latest spiderman reboot expands the spiderverse in visually dazzling and hilariously selfreferential ways,"['overflowing', 'wit', 'verve', 'inventiveness', 'latest', 'spiderman', 'reboot', 'expands', 'spiderverse', 'visually', 'dazzling', 'hilariously', 'selfreferential', 'way']",0.1027,positive
Absolutely everything one would want from an animated Spider-Man movie,13 December 2018,absolutely everything one would want from an animated spiderman movie,"['absolutely', 'everything', 'one', 'would', 'want', 'animated', 'spiderman', 'movie']",0.0772,positive
Awesome,20 December 2018,awesome,['awesome'],0.6249,positive
Beautiful animation!,12 December 2018,beautiful animation,"['beautiful', 'animation']",0.5994,positive
Shattered my expectations!!,14 December 2018,shattered my expectations,"['shattered', 'expectation']",-0.4767,negative
"Amazing, Spectacular, Incredible, Just, BEAUTIFUL",21 December 2018,amazing spectacular incredible just beautiful,"['amazing', 'spectacular', 'incredible', 'beautiful']",0.8271,positive
Spider-Man: Into the Spider-Verse,24 October 2022,spiderman into the spiderverse,"['spiderman', 'spiderverse']",0.0,positive
Finally Sony give me hope,26 December 2018,finally sony give me hope,"['finally', 'sony', 'give', 'hope']",0.4404,positive
Awesome,17 December 2018,awesome,['awesome'],0.6249,positive
This is the best thing out there right now.,21 December 2018,this is the best thing out there right now,"['best', 'thing', 'right']",0.6369,positive
The best movie of the whole year!,27 December 2018,the best movie of the whole year,"['best', 'movie', 'whole', 'year']",0.6369,positive
From Multiple Enemies to Multiple Heroes.,20 December 2018,from multiple enemies to multiple heroes,"['multiple', 'enemy', 'multiple', 'hero']",0.0258,positive
"Puts the ""Amazing"" back into ""Spider-Man""",16 December 2018,puts the amazing back into spiderman,"['put', 'amazing', 'back', 'spiderman']",0.5859,positive
Absolutely amazing Spider-Man!,12 December 2018,absolutely amazing spiderman,"['absolutely', 'amazing', 'spiderman']",0.624,positive
My Least favourite Spider-Man movie. Definitely NOT what the critics led me to believe.,12 December 2018,my least favourite spiderman movie definitely not what the critics led me to believe,"['least', 'favourite', 'spiderman', 'movie', 'definitely', 'critic', 'led', 'believe']",0.5556,positive
Yikes,22 December 2018,yikes,['yikes'],0.0,positive
For whom was this movie made?,18 January 2019,for whom was this movie made,"['movie', 'made']",0.0,positive
"The most impressive animation this year, and a feast for comics fans !!",24 December 2018,the most impressive animation this year and a feast for comics fans ,"['impressive', 'animation', 'year', 'feast', 'comic', 'fan']",0.5563,positive
The pig was too much,5 August 2019,the pig was too much,"['pig', 'much']",0.0,positive
"With lots of heart, some of the action sequences and compelling characters, Spiderman: Into The Spider-Verse is Sony Pictures Animation's finest achievement!",26 December 2018,with lots of heart some of the action sequences and compelling characters spiderman into the spiderverse is sony pictures animations finest achievement,"['lot', 'heart', 'action', 'sequence', 'compelling', 'character', 'spiderman', 'spiderverse', 'sony', 'picture', 'animation', 'finest', 'achievement']",0.2263,positive
It was so-so,16 March 2019,it was soso,['soso'],0.0,positive
"Into The Spider-Verse crawls, swings and glitches its way in becoming the best Spider-Man adaptation.",16 December 2018,into the spiderverse crawls swings and glitches its way in becoming the best spiderman adaptation,"['spiderverse', 'crawl', 'swing', 'glitch', 'way', 'becoming', 'best', 'spiderman', 'adaptation']",0.6369,positive
"Spider-Man, Spider-Man, Does whatever a spider can!",16 December 2018,spiderman spiderman does whatever a spider can,"['spiderman', 'spiderman', 'whatever', 'spider']",0.0,positive
!!!,20 December 2018,,[],0.0,positive
Super fun,15 December 2018,super fun,"['super', 'fun']",0.802,positive
"If there exist infinite dimensions, this would still be cool in all of them",30 April 2019,if there exist infinite dimensions this would still be cool in all of them,"['exist', 'infinite', 'dimension', 'would', 'still', 'cool']",0.3182,positive
Best Animated Marvel Movie after Big Hero 6!!!,20 December 2018,best animated marvel movie after big hero 6,"['best', 'animated', 'marvel', 'movie', 'big', 'hero', '6']",0.891,positive
Incredible animation and a well executed story,19 December 2018,incredible animation and a well executed story,"['incredible', 'animation', 'well', 'executed', 'story']",0.2732,positive
Stan Lee would be proud,16 February 2019,stan lee would be proud,"['stan', 'lee', 'would', 'proud']",0.4767,positive
"It's the best Spidey film and dare I say it, the best MCU film of the year! Go see it!",2 January 2019,its the best spidey film and dare i say it the best mcu film of the year go see it,"['best', 'spidey', 'film', 'dare', 'say', 'best', 'mcu', 'film', 'year', 'go', 'see']",0.8555,positive
Best Spiderman movie ever,15 December 2018,best spiderman movie ever,"['best', 'spiderman', 'movie', 'ever']",0.6369,positive
Boring and Dull,3 May 2019,boring and dull,"['boring', 'dull']",-0.6124,negative
Cool movie + cool soundtrack,16 December 2018,cool movie  cool soundtrack,"['cool', 'movie', 'cool', 'soundtrack']",0.5574,positive
"A tale of food, relationships and mad science",26 September 2021,a tale of food relationships and mad science,"['tale', 'food', 'relationship', 'mad', 'science']",-0.4939,negative
Not sure what the point was...,28 January 2019,not sure what the point was,"['sure', 'point']",-0.2411,negative
Quirky but Good,30 December 2018,quirky but good,"['quirky', 'good']",0.5927,positive
It's like watching a comic book come to life.,16 December 2018,its like watching a comic book come to life,"['like', 'watching', 'comic', 'book', 'come', 'life']",0.3612,positive
Best Spider-man movie ever,27 August 2019,best spiderman movie ever,"['best', 'spiderman', 'movie', 'ever']",0.6369,positive
